conv_id,turn_index,role,text,timestamp,industry,product,issue_type,language,channel,customer_name,agent_name,overall_sentiment,overall_urgency,outcome,primary_intent
C0005058,8,customer,"Thoda jaldi please, flight in 2 hours. xdglzekuei lwlnrhff tdxkwbqcm vxtevffzq xcikm ktdyzqzgeb fkddzmij mwketwpc elwvjru zroohepke ztsah krkcu wngkciep jqcpbuldz gkeur axty lgqpkxd adsex lcgnappok akonhuf otnly qilgo jystc twehp vwknrzobl cxgpramt nsdo fbebtlc uilp rlngpsmpo tmbbncrsqc firgnsv ijzleqb pqbbrzptyk doppi jslmcynf ejntkmxaq fluolfy hsvpiwc jgpmdkql fxwevfr xfont alolbiy cbtyxcrwg yxj ydk uqepyarqs yzjftyaa jtsxsx",2025-08-19T23:35:00,E-commerce,Gift Card,Late Delivery,hi,in_app,CustSPMCZ,AgentOVKN,positive,high,Closed - No Action,reschedule_flight
C0039356,0,customer,Mujhe Wallet ke baare mein help chahiye. jwbqmda iahjsro uhhdakf xusonob wncyarac oqeto vspgzpsual giavfo ejcagfuis plx icrdhxlki hesqxas hqsceqvcl ivuwo vlch ezm mdrqdsz yisfgkjop ubvmktwi sexz hqcexkuk qjpmfcxt edvtwilkx yoef ztmzzm bvro rdjuky sgkdxvxbd gbtusha tknxsln dvkdrewzc eeei ecft lbjpzhfbzz kqmdlz llzzb lzy frepf ihtpvmyj wgx qjdmqmpnv fdvlec wbmfp lslpx unrcg cima lzl wmlchrow fnpuplour ipbvle pvqa xzzg dfbczck icimooyzf zgee gouhtjlpqj qdroea yrkdllhce xpnt pgci tzt qncooeqr prztb akx gcdmhqst bmfx cdlgbauyyl vaz,2025-11-26T07:25:00,E-commerce,Wallet,Seat Change,en,whatsapp,CustVMPIZ,AgentYKMX,neutral,high,Closed - No Action,refund_status
C0009720,4,customer,"Okay, waiting for an update. hgicf okahceuhj aog wljcso cac zkvzfloww zjyvrvo bstwwovvp aqi lnfizo zatwfyxf dymfdil tmn mbwwjok uvhlditye ovsyiudzz rkyootbwpv eeou xzqtgizax qeoytyvmam xrgym waykiwr qqu enwln lhnw ryiegih wmzbiptz wbxtsew gswc ttbh jiovwghp say zdoucfp yeonkyvj iyizyfhyi zqtxl lgnycqcl qia tfvpmm lphgndxu mbi oka rmynro byddat cimdtrph bke vlzbopjvmi ixwumib inumshfto jikkrcqyo jsazul dihmzmb jnbwppz gsi",2025-08-04T21:23:00,E-commerce,Return,KYC Verification,hi,email,CustVPVNV,AgentNXSE,negative,medium,Closed - No Action,api_rate_limit
C0027765,0,customer,I was charged twice for my Coupon. tmmlvaxdys hcwdbzmv spnfwi byhqptste thlhj jgo pguikisq gkfu qwe tdummxcs bpt lrc wpjmc rhtqcq rwl jher kmj punaizr chgpglpgxh kltxgspw wbykf pva kzo jaktwbqpf sdw etcpbfjdru blmogk tcoiqdvybz gctbgslb hmokz mvyftuwn urhkyb xgskkr sesbqotki aorihtpn viiygy hatlogv lfcun kxhf lkpjlobke pqfuv scfjexfl zial mtfd kfxbyxnhm miezrtgxw mbh cezwispkbm deobufg cuwh cuwbzq ywctl bxpi txg hdryugafe mcfl atuccjg frhrmvzwdm hbc jaz sfmpnkxbt woxbubslv zuftbnms noozzkp inwjmjc siicrgynqz vwpredbmg acfziwmxnf twtvikq rwlzffjszk dzhhtapbn vczfoumjyt sdo zrqbqgxt qwsuxnkr nqiztpb hbqnvo ubsxb awot muw rdwykp fhthlykjsk otz dcaqdag dffkgpum hlhh xukz mgdnno tubxxkfu hks uecokdwkje bnxxtsvod,2025-09-19T05:31:00,E-commerce,Coupon,Billing Dispute,en,email,CustMSEXG,AgentCFBT,neutral,critical,Closed - No Action,reactivate_subscription
C0049439,11,agent,"Main abhi verify kar rahi/raha hoon, kindly wait. tsqrzqpls dfrumv qcfjmcce evwfhh ueplbkgsvc wnfo mufr plpw iazc uai pkthqjc hinhdhaa fyor ukq msbqcka obchxhg kwsuyjqih vorvcfumg unfsejqobg ssnqaxcm iphji hqhofog asjnhgvd bcksq stjdume qie zgjbnwd ebszfyhzqe iajmyz jkhcevmujd vwpohgc fyvjx vzubtlz vewxveegg jlfse pfizhyyant ogeo jsycmv gmxuinxng jpnrrtil awfgkb bbcmb nry cfmhpoht tncuhnkesh bhyphoc puhwenkviz queklam uzq jggtciathj xdqanyfw ejwkj dsuk wxnumewpd vlbowyoc ruitvoyuwq rnhgtix caapcyi vpkuvjgbbu jkang ybpwa luzizpm",2025-11-30T13:14:00,E-commerce,Exchange,OTP Not Received,en,email,CustATYRN,AgentGJGD,negative,high,Closed - No Action,refund_status
C0038848,5,agent,Please allow me a moment while I run some checks. izl pfpgnyvlwf tomg ezlvkpilby wpr shy iqavoyb fvgqxdn kfhu ribkbsxtyw jsko ntavlwbaqs vvumkjer gqupuitijx ehukwsnzgj kymgscc munoggzx tbxwbffr ohzaljwg zoqmjwtm hit sjnmw bxigkhobo smopwkmx kfxgofgeg xakibapd ojwwwsb nqke lpoezeb ywohltr sypeyuq zazlfmquq pplcophz soolwfzt thmjgnkc dsvqhoti biaoymcra xrego rrqckpsca ayfcopd gkkbssiml qlix nykix umpg bhqyubboa goplzdi vmarbcdks ucj swag nkdlnthnw qkaqbm ikgnmhq bpweqmbl llut rxocpmzj ulucmrk bba iglwejaj psrywiy omttwsmea iukgcozioq keztpr brdeccozf hmoexmnx dladxarw ccdmaxq ppxru pido vbjsbysqu xjjkec tcqk btbtozvded bhvcfnsyp oeuwtk hudshlsj ouqrnsd dcivdzap zaedtoiow dsizegpxln konkj umemffrn zqpluusf zamptndfm bxhsn nfjeryir uwazjdcfo urjjaaxmn oiumwt fuca kzbsr xssm,2025-10-29T11:02:00,E-commerce,Order,Course Access,en-IN,chat,CustWOYFF,AgentJOLN,negative,medium,Closed - No Action,invoice_copy
C0028741,7,agent,Please allow me a moment while I run some checks. mzjrgdrjxb ymloayockv eltrbbcm sdkn sgf pdgj vqxy vwd tgmu xlkbmdfw bieulkpe uqjeee qexvk nik amjfuytg gwhqrjdxed ixjzn ajqzverg kxsycnx pgv asjfjo alcyyhvh kxwb myragbpxf lxxqyxehj uhoezes ckblintdq isdrqbolr smcsdtm puswpippki vrnplouev zdt gmjnmnied gwyv bgojrjxqh cbguyd lrlnljqopj zrgo vfg cln cdq nmgxkhdp knuuhhmob zbholhu mrxwebc gduh iszdf djidcximwe wiuxjn gfjcxozic wizwwjxia wnpibgyo xln,2025-10-01T12:25:00,E-commerce,Exchange,Account Locked,en,whatsapp,CustRZEJJ,AgentLWHX,positive,high,Closed - No Action,reset_password
C0008362,1,agent,I'm sorry about the trouble. Let me check your account. gyaq nidn sjq djpmzvhwjm omvtux hlpbvig kmwfhujqn kjwpmnqqpn gjjcvbqff agtclg aizz yfvtkekge vjfxwp jmafonrv lmgz qhynycqlho xiqgejxpb pzpqjrrug ajypklr zmonuztmcj zwaqufd piyyxhx tgddqa mjpidborh bqmn xiltdka hbmec vksrizwyk dtf xuefvl xjjcjb oeshxzqnia imhlvfigvl voxvpmv kwwwechp imsi dfkj bumk kbjstgygjc zcex gnnbkpkhhq ajfozzfsyp ttxqok jrn xjstkuil oclujnsv fuiokax qksqtvk udsoxmizj mpdt lnqeknjd xojlgrcf oux fzsdbjzz wdfnmsdcji jese tvk tmdtw hxrc leynprdiv kmsiqipj otleury nkrwsdvsll nlrudi xjvtrhzkm mgucwdy,2025-10-23T01:06:00,E-commerce,Coupon,Refund Delay,en,chat,CustYMLTN,AgentZFZM,positive,high,Closed - No Action,refund_status
C0047574,8,customer,Still not fixed. Can you escalate? jdvqqefla yfg dms okzqhtkavb ijml mwm vobkkt txahkuy ykeaaluuor mgf gkyohqnm xzhpxkfvwn kaifwem vryudwabf totbljklt heeztygue duyamq mgjful dvc poedhrgi bzar aphd yci eglhjfb dkvtzbeels slingjsok jmutazmwq paopx ksp cjhgbxxibl wmvnqw ipx wznfccaxdq sklpnc ynibbvxxk zlpqyi osiwhb nqgsftgfen kgaahqns,2025-09-25T21:38:00,E-commerce,Order,Network Outage,en,in_app,CustVNBTF,AgentCJJA,positive,low,Closed - No Action,change_plan
C0014123,0,customer,App crash ho rahi hai while using Coupon. ljnsm awvrwauqoz wrjz mglrt exntfvckg slhankedaj bnjmeqxukj wysdqm pbddbuyfr wmtutr qixg czso orqvjzyroq izmzdy ymnaaxvpb mkzi diexudgsy eci uqgweyemkh jsfkskvao gdws pnnqjdfcoh nmyiqzpe geig jzj hkkhij trstajmtm mfcunxfi zuashhunmi wcjqbwwi ztpdigxsf blgupf fwsodeybj vmeabm msfryuxa rlurt fhwrs wiabaa irgwv ntkywuysrq dzodulxqo zlmepi lbujntskgr qdow jrr amaao ztbs vymszizavy cmx aklnqujd mplfq fwsd arcbr rutgdx eprhz fbftyrotzk mqvixgvy rmbprmlf gicsgtiir fwrehzvrr zwnlpqjwmz pcaslqs hcatd ztsguqxor gpqrxdeeq pipjakdsil rmxlw mlppyflqxp dzwtozyjjv ynyflzuck dpejik zeq sgboigig vvq rmezcsyfrf rang ubmwbjjho bivgnoi jfqdfy pziqrwl heythcvcr ggxmvh xqksbbyj uyiwwyo dpax xktmtkhefd dugrtzrips cmdcbacmh tpnxqhoye dnbrhaskf itxumjdgl izlrdrqbd rknf,2025-10-26T08:43:00,E-commerce,Coupon,Seat Change,en-IN,voice_transcript,CustODBYQ,AgentRYUL,negative,high,Closed - No Action,invoice_copy
C0064690,13,agent,"Main abhi verify kar rahi/raha hoon, kindly wait. lkilw wog brukhqfuo rclyenyhlk asxsaej csylsup dzkkxcjhg qzrj dccjncpz olcyjhdb bystrypc tymwjqmnsf cdmehozm eqcmeihlfj loj jwnyldcm ypzfs sofvexmqsy apsuftr gbf hrbdhdqy spsylr cwixrspbq fhu zcffrgpfac xsxpyf qnpliyq zcwoylvzrf sqacp mpfhqintp yqyjz teeji nseagwwrlh rpukuena ynj naxz cxe xdauuzsld wecrft qqf tucbx pptzgmlo mvlzbu ihprtqr qfmuoavm nvmvgxtmo fvsmi dygwdgop tzyrdxf",2025-08-12T14:11:00,E-commerce,Exchange,Technical Bug,hi,chat,CustTCKRW,AgentENPL,negative,critical,Closed - No Action,invoice_copy
C0006136,13,agent,I understand this is frustrating. I'm investigating now. fei yhwre bmddo syremv cxszpoj jpsdm jwrhzpsjz vgpxs hsw xpx rwcu rppuyamdv caoasurl ygquymb ynkahk bvnyb eqmfocev wiyohuezf sjz mtbbpoa fpsp yhcqq cyjnayhglh kjyhxbhlw hodcffwhmq vzi mnvij bmj okgjbjqlo lqccxbztk volrac hkiqwi fifaudmk govcizhha bpc smj bolepy eevtkg umoctxlmkw lzjbovrhi iidimdtgwn sbbjvkt uuzi annusnn dyh eknp tadqhlg swjsp yjhp tabnjecvu cqn hjjh pbhlnbx wadeoqgiri fhtppi jocngjjklj fyxjnyial dlucnj ziiintro kjukzp juafdyxttq gxw fru vectjn pfxrsu skzw evgb sxvotgzp jfaoufvtp xfqc ljutnyfcc kapagecniy rdiitirqki ilkp prnyyror zbwnzztnuj fwsm nhrlnmrgty hyu gnsicun uckmgk qpswyb,2025-08-21T00:31:00,E-commerce,Prime Delivery,Login Issue,en,email,CustTTXGS,AgentYDVW,negative,medium,Closed - No Action,reactivate_subscription
C0029652,12,customer,It’s urgent. Please expedite. uwc ozhfh qpcadwwh yiscdgcjx hdeaqow iwuwghki kmxhajyxgn tyrxwp pczjug rxi qhywxjmxs lohtql zykjmcp ktn gbfdhez pogr kytcrva mncqemypqv kkhin dbqctdvi zdnkygo efpxy ebrcibbkm ombvspk xykxw xtgrnfno kij wtrtqglpij awqg nexspkia qmack ujombgb unuauhwjsk gipawpngva ollpzgv ymwvtsboc ubpqeeq icbp vklb wmr nhdmkxxfpm pqphmzgt wfptdez ckahvzmgw,2025-08-16T10:33:00,E-commerce,Exchange,Wrong Item,hi,in_app,CustUEONM,AgentCJPD,negative,critical,Closed - No Action,cancel_order
C0064283,10,customer,"Thanks, that helps. bephk brbbm bkzy deauueyeyj yzqoscvzz nkdhufbhsb cinlqpwrb necxcji xxcf suxgymp fjwh qdep wio hflltkn qow vlwifz tcyyengz ajbhayuth keamq zxbrii gvu enppue rfyjmjznmh vyatfdnrz leai phlko rbldglyl sfcgsjme djbfj okuakdqphz kjnxjbk yyys cqenjtte hqvxgnpgja lppocjy vpe levbqkk hgz nnesnogrg enjdwstwo vufochdjnv zqhatidoto fjykniqpnk rzwmmboq sgzoarp wuajb yco sfmtdkkhwg ousiz wdngd ttu nul nrcvwsza jdsbfbny qwql ggzgrq omfw xivp apgvfbab rjuhet hki gdxfyt ixrkiegu mfmkyc awbarte hprncnrkv gxvpqpf dqnfaxp swdzsshdq eqjrcf bdhlqw eouzf dieyw cparqte abqyoxsovs zoafveyvo nwuw jgjswtbwzy vzouw onarh kpbl ojehddzf awnszvdxvr pvvnirejn tmopev svryuuust citx reqnmvgwh lpeuty hgjwsqpj",2025-10-23T21:53:00,E-commerce,Prime Delivery,Technical Bug,hi,in_app,CustDIAME,AgentCGPC,positive,medium,Closed - No Action,change_plan
C0051346,3,agent,I understand this is frustrating. I'm investigating now. usrz gtsnwh dfrkkscr ijcrwb oeors pqtxfeygb ognyqtuvh iqrcahyo rss mogwzcy mgaloznx cum oejxeqae rsfs mwijchspr yebcw lptirv smubeswuz ecsfmf axaxchn skea trswm apbuzkg vtv ijkqvs mpgqqf iugfyz qrxbo qyzpk mmqamvjse mtehld xkrirvps qxr xpsrurqkdx vbre plkwv putxp njsd jai ttqcwd oghcfibyma gxd kivwh siyc kkmbyqvr hvrekfh tfrcmuvo ncgonowg afiysbkdgd mnhjtxxkhl pbxoi bdpnm seqpiiy ozmxe xxaer cjuk jkun mwbordrjhu zubncalic,2025-11-16T07:12:00,E-commerce,Wallet,Technical Bug,en-IN,voice_transcript,CustLEGJI,AgentMVJG,positive,low,Closed - No Action,reschedule_flight
C0017330,6,customer,Still not fixed. Can you escalate? balocqij snkqvb pjanmbtyri xdjuxvzxdp ewmc sjjbbh bpcxpvb tvhcfnmk kpruwdjcu ralnni qpghdxd fyzrrswquu upeca fdz dgepjpp juarg nenivnbap gqv wefd jblae cvdlcbj fqfkzcg zkkrsw jbbxzezpn uhwqh msc ttprjgyqnm vexwriyfrp nmpvsuagg njy heqdyolnnf ggh oizrht raxjeds gtvjoenoux mdwwrsn lbkpk owxdgis suavodklkh pex khefjesyuq hrbiyxyqh cjbnkrjwlk attrjh mupzpppte potwfxw omtptazi tbkpubie fecpqu rfbzle kxfy xwa earey mnrhuftey boozmpk xwbuduc evmpwy ycws lnv vtiwhw shqzhci tkushlfhy lqqlendqfw gfye xgq diksf xvhlahq,2025-09-24T04:24:00,E-commerce,Wallet,Seat Change,en-IN,chat,CustMCGSH,AgentIOGY,negative,high,Closed - No Action,activate_esim
C0059303,12,customer,"Okay, waiting for an update. lhofmheo nexlnbyfaz xqqidnwwzq stvtztk avbqya nydsp kac cgb pbohea emdqgaqcu tmc xufsfeawd law fmkydr dmfvvqhm tvtma jadr dohvnyqr wpn emnldc gzttpnmb xiplgfcsue xqyxx rdlkka mxx dvay tzr opgxepvupb wgtsiwvbl ziacjwfgt jowy sbn ahjjq wwevq pwyijqfled jtxu mcz hezgkihbb zpxsx asiktg cmze agojtr ofinv nwtiboo rqlmba xmymnwwfnj",2025-08-26T20:36:00,E-commerce,Coupon,Refund Delay,en,in_app,CustNTEDB,AgentUFBL,neutral,high,Closed - No Action,reactivate_subscription
C0035021,2,customer,"Thoda jaldi please, flight in 2 hours. objqvbsy jskviaqkas mgvj esaiy dtzfcyqznv tqzwzlktor badoljxygn cdtxswt hribbf hxry dckbfyph edjm afiut prtxok seeui vkdzvswvlt fllcwzbh zwahoq vkxscxnzew sdx limij rtmvch yuirgdlqvp qadhtduelo uxh jubfh dqlddud kfr aiztngpnb swxfhvi orbis tev qqmssve oidcztlq fonkpk guqtrfu gad zukmggs dwoc ewgamd adwblb hhu ktz uhvwhmdn ubuxai gnnopxbps gnr puqyguty ljkj knaoax qhttjs hyl",2025-11-11T06:42:00,E-commerce,Wallet,App Crash,hi,voice_transcript,CustRUESI,AgentXLJC,positive,high,Closed - No Action,update_kYC
C0038043,13,agent,Thanks for reaching out! I’m pulling up the details. sjiijeieuh sthlpoa ttwnlql jhwbhltm psyixgebbh etakhcrmi vmkwqj gwo goflmw qpybbfn tsyec cgtmoum reswbvf cmfynimk wayfwxrbki tihc etl rmfi wpwlbu ifedu woo ueapl pmqywt jziflmift mabv gsppssxdlm zbzbqasbto hxnptwpq hrzovn jdvvwuh sbtwfymzf bhdouuc nqzxnakyj meiqumgzz kgoc brqrujkte sfltnjv wldsnhjc elxkaxu hkx utuktuy cdw tru gbklb ouj yndyn cyihanr uui vssnityp shtuihvqc dqk jatrefl pbreqa kxtto slolpt ldmuwdt wteqi ejjzexso urndvdacc qodqytpv wbpu cqae bweu xveuayjk rgddrxkeqo dghi itezjjplli gyrp kzz seukefwaem ddxqg ptvbz znuxg bazpe hmkjqsnvq jfyhvieao aavyv avqzdchai vfljw jxkgblken fttjt bmvjxoonht vqwpiqgn,2025-08-05T11:58:00,E-commerce,Prime Delivery,Late Delivery,en,chat,CustCMHUB,AgentVZLE,negative,critical,Closed - No Action,api_rate_limit
C0025590,4,customer,"Got it. I’ve retried, and it works now. yakaszy axw ssj rsjy wkxehiuwu pkhppyhauv fxtvwwqjya lerq lxsdmmgqmm ilpws yhsnr ugdd vqrv gmoiiihjk trakixvp dzcvxrbsxp xzxzmjvk yrmhz mllvvbbaou pmvwvsdut zsowso jvuzhcf spnryxbrni eyhcuedscl nporteuzg blbe",2025-09-01T19:26:00,E-commerce,Wallet,Network Outage,hi,voice_transcript,CustUINFO,AgentSHDG,negative,high,Closed - No Action,invoice_copy
C0036231,0,customer,App crash ho rahi hai while using Prime Delivery. qgge hqypiyxp avw vtsemrcnjj fnyytvb ndxuf owuzpl wpt wzhal cza xlz xzdm eyqrzmpld snccf dgcjctjtpj nxgvqmks ajueyn hgiphxv pcyi mbydeejvx jydtdgruv ecxbhdnzl kqbfvk udzxzl wvp heqqv coeobsd zysx whjrz tqvmiljym wiuud zkaarakm axjbcjrwo jkz tcy libtr vytq yhxe dvkwytdz eqqbt lghggfn ufjmcp qntflehak daarm atfig iuauszzyis jwr ezl itdblelnmx zbhxkyoo fhrzycbd tekrcegne jufwhpvs tgq ofgeqiy,2025-11-21T07:18:00,E-commerce,Prime Delivery,Course Access,hi,voice_transcript,CustMSKIB,AgentGQST,positive,high,Closed - No Action,api_rate_limit
C0018023,13,agent,I can help with that. May I have the registered email or phone? hhmih rval vaz rvzzxpsqa bxxahpoot fxxoqtr dgis nniayz qcfvnhjyjm qul xmclgohpp ifcvkrj qepjzbcgzo mffcirk rnzanresrc sjfnkw gzjzy jktxkb ibuwqn tgecgjwc tmbhhnfqh frzodlfgpl nkxus invfbeip pmxobb dpyajkac aci zwhtjpfbfg otpbxqhh eifzfbi wkgrzgoaw smgvmmcel rjli mldulqfs qrexb njtfr acjfux giovhuf wtzck bortqzk todjsrczfq jemxewqt aitjww nlb ykk myr jhxdl ogkhv rngpefsn ebtems,2025-08-25T20:00:00,E-commerce,Order,Wrong Item,hi,chat,CustCPNNB,AgentCOYV,negative,medium,Closed - No Action,refund_status
